Type Animal FOV Scan_type Valid BPM Diameter Max_flow Speed_change Area_change Compliance
CAT E12 7 Y 0 306 111.626 17.6976 0.192072 0.105495 12.8771 
CAT E12 8 ThreeD_rfa 0 313 49 1.61514 0 0 0 
CAT E12 8 X 0 362 0 1.61514 0 0 0 
CAT E12 8 Y 0 331 0 1.61514 0 0 0 
CAT V1 1 X 0 195 65.8767 0 0.162378 0.00998116 0 
CAT V1 1 Y 0 184 0 0 0 0 0 
CAT V1 2 ThreeD 0 181 0 0 0 0 0 
CAT V1 2 ThreeD_rfa 0 177 0 0 0 0 0 
CAT V2 1 Y 0 245 0 0 0 0 0 
CAT V2 2 ThreeD 0 191 0 0 0 0 0 
CAT V2 2 X 0 205 79.9074 0 0.16158 0.0586861 0 
CAT V2 2 Y 0 203 75.8071 0 0.222109 0.135728 0 
CAT V2 3 ThreeD_rfa 0 183 0 0 0 0 0 
CAT V2 3 X 0 185 97.061 0 0.103975 0.0239146 0 
CAT V2 3 Y 0 182 0 0 0 0 0 
CAT V3 1 X 0 160 93.0013 22.3414 0.0868984 0.130979 0 
CAT V3 1 Y 0 147 106.47 22.3414 0.385071 0.0759987 1.51647 
CAT V3 1 ThreeD_rfa 0 166 138 22.3414 0 0 0 
CAT V3 2 ThreeD_rfa 0 168 134 23.8709 0 0 0 
CAT V3 2 X 0 169 96.6644 23.8709 0.0698054 0.0511346 8.74936 
CAT V3 2 Y 0 169 111.368 23.8709 0.089456 0.00941662 0.830288 
CAT V4 1 ThreeD 0 210 0 0 0 0 0 
CAT V4 1 X 0 197 105.567 0 0.12651 0.0510644 0 
CAT V4 2 ThreeD 0 179 0 0 0 0 0 
CAT V4 2 unknown 0 180 97.4593 0 0.618122 0.35575 0 
WT E13 1 ThreeD_rfa 1 515 107 12.8013 0 0 0 
WT E13 1 X 1 512 97.8452 12.8013 0.129739 0.0162287 0.884301 
WT E13 1 Y 1 513 90.066 12.8013 0.0901969 0.0394185 3.01953 
WT E13 2 ThreeD_rfa 1 507 128 1.92405 0 0 0 
WT E13 2 X 0 512 0 1.92405 0 0 0 
WT E13 2 Y 1 509 79.8012 1.92405 0.514188 0.00229283 0.0550212 
WT E13 3 ThreeD_rfa 1 499 76 5.08471 0 0 0 
WT E13 3 X 1 499 76.7943 5.08471 0.0889113 -0.00383273 0 
WT E13 3 Y 0 497 0 5.08471 0 0 0 
WT E13 4 ThreeD_rfa 1 495 115 4.13703 0 0 0 
WT E13 4 X 0 491 0 4.13703 0 0 0 
WT E13 4 Y 1 493 88.3428 4.13703 0.287307 0.00077062 0.0278286 
WT E13 5 ThreeD_rfa 0 491 0 0 0 0 0 
WT E13 5 X 0 490 0 0 0 0 0 
WT E13 5 Y 0 493 0 0 0 0 0 
WT E13 6 ThreeD_rfa 0 477 0 0 0 0 0 
WT E13 6 X 0 475 0 0 0 0 0 
WT E13 6 Y 0 477 0 0 0 0 0 
WT E14 1 ThreeD_rfa 1 547 279 112.473 0 0 0 
WT E14 1 X 1 549 290.926 112.473 0.106867 0.00548694 23.8599 
WT E14 1 Y 1 548 250.303 112.473 0.275227 0.0233718 17.0465 
WT E14 2 ThreeD_rfa 1 524 89 2.11633 0 0 0 
WT E14 2 X 0 525 0 2.11633 0 0 0 
WT E14 2 Y 0 524 0 2.11633 0 0 0 
WT E14 3 ThreeD_rfa 1 510 121 21.7618 0 0 0 
WT E14 3 X 1 516 115.229 21.7618 0.117652 0.0183498 1.76414 
WT E14 3 Y 1 514 122.844 21.7618 0.136683 0.0390895 5.69096 
WT E14 4 ThreeD_rfa 1 505 79 7.0668 0 0 0 
WT E14 4 X 1 507 79.0146 7.0668 0.106578 0.0167398 0.596597 
WT E14 4 Y 1 506 67.4289 7.0668 0.127391 0.0559415 1.03183 
WT E14 5 ThreeD_rfa 1 503 56 2.55827 0 0 0 
WT E14 5 X 1 503 54.3722 2.55827 0.110813 5.8067e-005 0.000517482 
WT E14 5 Y 0 504 0 2.55827 0 0 0 
WT E14 6 ThreeD_rfa 1 500 122 30.1862 0 0 0 
WT E14 6 X 1 500 114.569 30.1862 0.206813 0.045248 1.91259 
WT E14 6 Y 1 500 125.356 30.1862 0.143428 0.0172263 1.5425 
WT E14 7 ThreeD_rfa 0 495 0 0 0 0 0 
WT E14 7 X 0 496 0 0 0 0 0 
WT E14 7 Y 0 496 0 0 0 0 0 
WT E15 1 ThreeD_rfa 1 272 99 15.6008 0 0 0 
WT E15 1 X 1 276 98.7313 15.6008 0.121998 0.104807 35.469 
WT E15 1 Y 1 274 101.524 15.6008 0.395093 0.0619003 1.22399 
WT E15 2 ThreeD_rfa 1 278 120 13.8249 0 0 0 
WT E15 2 X 1 275 102.987 13.8249 0.127927 -0.0168418 0 
WT E15 2 Y 1 276 91.516 13.8249 0.136017 0.0301884 1.11832 
WT E15 3 ThreeD_rfa 1 272 98 13.389 0 0 0 
WT E15 3 X 1 276 96.7656 13.389 0.0740415 0.000226176 0.016709 
WT E15 3 Y 1 274 97.8739 13.389 0.0868931 0.00702972 0.516712 
WT E15 4 ThreeD_rfa 1 279 102 6.56665 0 0 0 
WT E15 4 X 1 279 70.5754 6.56665 0.222165 0.0338923 0.326107 
WT E15 4 Y 0 278 0 6.56665 0 0 0 
WT E15 5 ThreeD_rfa 0 316 0 0 0 0 0 
WT E15 5 X 1 314 80.4783 0 0.179985 0.0222848 0 
WT E15 5 Y 1 317 49.1488 0 0.168605 0.0219856 0 
WT E15 6 ThreeD_rfa 1 366 93 19.5482 0 0 0 
WT E15 6 X 1 357 112.885 19.5482 0.20886 0.0515689 3.18753 
